borough,wave,comp_only,forecast,baseline,composition_effect,behaviour_effect,total_change,year,lo,hi
E09000004,10,61.19816461054458,61.658677596588966,61.58315713499214,-0.3849925244475614,0.4605129860443853,0.0755204615968239,2024,,
E09000005,10,58.19490553963862,58.655418525683004,58.39021645226201,-0.19531091262339118,0.4605129860443853,0.2652020734209941,2024,,
E09000006,10,67.37131769492716,67.83183068097154,67.85710810164164,-0.4857904067144858,0.4605129860443782,-0.02527742067010763,2024,,
E09000007,10,69.27676641535312,69.7372794013975,69.43219603408748,-0.15542961873435956,0.4605129860443782,0.3050833673100186,2024,,
E09000008,10,61.707287287754056,62.16780027379844,61.78904079769229,-0.08175350993823116,0.4605129860443853,0.3787594761061541,2024,,
E09000009,10,62.4980064153958,62.958519401440185,62.52388255786183,-0.025876142466032093,0.4605129860443853,0.4346368435783532,2024,,
E09000010,10,59.766011136837946,60.22652412288233,60.140393310677474,-0.3743821738395283,0.4605129860443853,0.08613081220485697,2024,,
E09000011,10,63.44296006922548,63.90347305526986,63.61407429915083,-0.17111422992535097,0.4605129860443853,0.2893987561190343,2024,,
E09000012,10,68.77768613470293,69.23819912074731,68.98277177762354,-0.20508564292060782,0.4605129860443782,0.25542734312377036,2024,,
E09000013,10,74.28562511922244,74.74613810526682,74.368713985293,-0.08308886607055399,0.4605129860443782,0.3774241199738242,2024,,
E09000014,10,66.6712160789602,67.13172906500458,66.93240577505244,-0.26118969609224507,0.4605129860443782,0.1993232899521331,2024,,
E09000015,10,57.616997854812425,58.07751084085681,57.82921155479354,-0.21221369998111328,0.4605129860443853,0.248299286063272,2024,,
E09000016,10,58.072298616862426,58.53281160290681,58.46170199492165,-0.389403378059221,0.4605129860443853,0.0711096079851643,2024,,
E09000017,10,58.39556333833992,58.856076324384304,58.818318097959214,-0.4227547596192949,0.4605129860443853,0.03775822642509041,2024,,
E09000018,10,57.2419198802135,57.70243286625789,57.4642903585638,-0.22237047835029955,0.4605129860443853,0.23814250769408574,2024,,
E09000019,10,73.87102416348047,74.33153714952485,74.1169758285329,-0.2459516650524307,0.4605129860443782,0.21456132099194747,2024,,
E09000020,10,67.02453088165906,67.48504386770344,67.28115427960147,-0.2566233979424055,0.4605129860443782,0.20388958810197266,2024,,
E09000021,10,66.86455099624189,67.32506398228627,67.19705679285937,-0.3325057966174825,0.4605129860443782,0.1280071894268957,2024,,
E09000022,10,70.74600333778798,71.20651632383236,70.99547295125436,-0.24946961346637408,0.4605129860443782,0.2110433725780041,2024,,
E09000023,10,68.18505979411056,68.64557278015494,68.5802123459178,-0.39515255180724296,0.4605129860443782,0.06536043423713522,2024,,
E09000024,10,66.85425990515095,67.31477289119533,67.05887586609288,-0.20461596094192203,0.4605129860443782,0.25589702510245615,2024,,
E09000025,10,57.76645705220993,58.226970038254315,57.77586183297757,-0.009404780767638954,0.4605129860443853,0.45110820527674633,2024,,
E09000026,10,57.50218093857183,57.96269392461622,57.679269142212895,-0.1770882036410626,0.4605129860443853,0.2834247824033227,2024,,
E09000027,10,72.60854928876388,73.06906227480826,72.92331254495626,-0.31476325619237855,0.4605129860443782,0.14574972985199963,2024,,
E09000028,10,69.47977579606666,69.94028878211104,69.60760085322619,-0.12782505715952652,0.4605129860443782,0.33268792888485166,2024,,
E09000029,10,63.13634284775933,63.596855833803716,63.42448351337102,-0.28814066561169227,0.4605129860443853,0.17237232043269302,2024,,
E09000030,10,65.36930178421385,65.82981477025822,65.83583728001553,-0.4665354958016792,0.4605129860443782,-0.006022509757301009,2024,,
E09000031,10,60.67808715375131,61.13860013979569,61.24366508639443,-0.565577932643123,0.4605129860443853,-0.10506494659873766,2024,,
E09000032,10,74.87348602522468,75.33399901126906,75.2025587916439,-0.3290727664192161,0.4605129860443782,0.13144021962516206,2024,,
E09000033,10,66.73679743800413,67.19731042404851,66.8102395267113,-0.07344208870716784,0.4605129860443782,0.38707089733721034,2024,,
E09000002,11,50.62363652282054,51.314406001887114,50.949465268591275,-0.3258287457707354,0.6907694790665744,0.364940733295839,2025,45.297988734460425,57.573489543965245
E09000003,11,62.371365911824654,63.06213539089123,62.673456611398294,-0.30209069957363965,0.6907694790665744,0.3886787794929347,2025,57.20723157654669,69.26449906670582
E09000004,11,61.06526889812304,61.75603837718961,61.58315713499214,-0.5178882368691049,0.6907694790665744,0.17288124219746948,2025,55.92226239591287,68.11145982044725
E09000005,11,58.13686424368224,58.827633722748814,58.39021645226201,-0.2533522085797699,0.6907694790665744,0.43741727048680445,2025,52.53197202099081,64.88393131953565
E09000006,11,67.18484008419793,67.8756095632645,67.85710810164164,-0.672268017443713,0.6907694790665744,0.01850146162286137,2025,62.10730574895223,73.95072004356658
E09000007,11,69.19437883423605,69.88514831330262,69.43219603408748,-0.23781719985143468,0.6907694790665744,0.4529522792151397,2025,63.579043761848396,75.85845353016762
E09000008,11,61.64831125174701,62.339080730813585,61.78904079769229,-0.14072954594527687,0.6907694790665744,0.5500399331212975,2025,56.29074664271498,68.55146324209868
E09000009,11,62.49801617565163,63.1887856547182,62.52388255786183,-0.025866382210203653,0.6907694790665744,0.6649030968563707,2025,57.058669058642494,69.29280429787005
E09000010,11,59.57843671516847,60.269206194235046,60.140393310677474,-0.5619565955090025,0.6907694790665744,0.12881288355757192,2025,53.96694025888385,66.26812161564057
E09000011,11,63.35922024921974,64.04998972828632,63.61407429915083,-0.2548540499310903,0.6907694790665815,0.4359154291354912,2025,58.16758657391327,70.1091439911844
E09000012,11,68.68068419109673,69.3714536701633,68.98277177762354,-0.30208758652680956,0.6907694790665744,0.3886818925397648,2025,62.97665617457736,75.3077807419123
E09000013,11,74.25591858963226,74.94668806869883,74.368713985293,-0.11279539566073993,0.6907694790665744,0.5779740834058344,2025,68.81841243937063,81.20806160705143
E09000014,11,66.54031705107143,67.231086530138,66.93240577505244,-0.39208872398101846,0.6907694790665744,0.2986807550855559,2025,61.04825638197372,73.4709535507285
E09000015,11,57.55404564031993,58.2448151193865,57.82921155479354,-0.27516591447361094,0.6907694790665744,0.41560356459296344,2025,52.16890765986159,64.33744201571037
E09000016,11,57.896849198025905,58.58761867709248,58.46170199492165,-0.5648527968957424,0.6907694790665744,0.12591668217083196,2025,52.69379407671912,64.8366897610305
E09000017,11,58.205956493996524,58.8967259730631,58.818318097959214,-0.6123616039626896,0.6907694790665744,0.0784078751038848,2025,52.95463863762515,65.50639432381499
E09000018,11,57.13714062047014,57.827910099536716,57.4642903585638,-0.32714973809365944,0.6907694790665744,0.36361974097291494,2025,51.67251913244848,63.71791784440254
E09000019,11,73.76866956181047,74.45943904087704,74.1169758285329,-0.3483062667224317,0.6907694790665744,0.3424632123441427,2025,68.39015156190096,80.45227367017718
E09000020,11,66.89236151495201,67.58313099401859,67.28115427960147,-0.3887927646494518,0.6907694790665744,0.3019767144171226,2025,61.61861485294623,73.73307901858355
E09000021,11,66.71035902771341,67.40112850677998,67.19705679285937,-0.4866977651459621,0.6907694790665744,0.2040717139206123,2025,61.39098078778132,73.54646397733121
E09000022,11,70.62521775683726,71.31598723590383,70.99547295125436,-0.37025519441709775,0.6907694790665744,0.3205142846494766,2025,65.66907982396332,77.61715528084297
E09000023,11,68.00725000404077,68.69801948310734,68.5802123459178,-0.5729623418770302,0.6907694790665744,0.11780713718954416,2025,62.174684949066084,74.70366546324638
E09000024,11,66.75096201265339,67.44173149171996,67.05887586609288,-0.3079138534394872,0.6907694790665744,0.3828556256270872,2025,61.093864086034074,73.6763896400285
E09000025,11,57.763886194088435,58.45465567315501,57.77586183297757,-0.011975638889133222,0.6907694790665744,0.6787938401774412,2025,51.990417958533804,64.35883663219745
E09000026,11,57.419695604049195,58.11046508311577,57.679269142212895,-0.2595735381636999,0.6907694790665744,0.4311959409028745,2025,52.15061153960567,64.19407324466957
E09000027,11,72.4628080164186,73.15357749548518,72.92331254495626,-0.4605045285376548,0.6907694790665744,0.2302649505289196,2025,67.21990991085856,79.19652876380864
E09000028,11,69.39744606443794,70.08821554350452,69.60760085322619,-0.21015478878824467,0.6907694790665744,0.4806146902783297,2025,64.02058810396785,76.24698894770164
E09000029,11,63.01088935079565,63.701658829862225,63.42448351337102,-0.4135941625753716,0.6907694790665744,0.27717531649120275,2025,57.83041172495786,69.6720567482091
E09000030,11,65.11768026211,65.80844974117657,65.83583728001553,-0.7181570179055257,0.6907694790665744,-0.027387538838951286,2025,59.776676359055514,71.71498477501412
E09000031,11,60.36550640758425,61.05627588665082,61.24366508639443,-0.8781586788101805,0.6907694790665744,-0.18738919974360613,2025,54.96018473129669,67.32244751566313
E09000032,11,74.68002954878676,75.37079902785334,75.2025587916439,-0.5225292428571322,0.6907694790665744,0.16824023620944217,2025,69.46067240758386,81.58029865061069
E09000033,11,66.71534312403722,67.4061126031038,66.8102395267113,-0.09489640267408106,0.6907694790665744,0.5958730763924933,2025,61.17296792126212,73.40182113866275
